Animal,t,weight
Cat,9.327626667,13.05209032
Dog,5.089351811,10.66834021
Fox,8.909232131,15.43463296
Cat,5.816035871,6.637535182
Dog,6.994554782,13.78099756
Fox,5.799074431,16.76538833
Cat,6.11214545,10.84968926
Dog,7.966205104,14.24919551
Fox,8.106303902,16.31031213
Cat,5.673913619,8.980517098
Dog,6.456332451,11.94962194
Fox,5.699498796,14.9255998
Cat,6.90926372,12.69632141
Dog,8.304785879,8.95726427
Fox,6.713410149,13.46337866
Cat,9.620247025,12.52395442
Dog,8.316651781,15.10406001
Fox,5.462603054,19.25248428
Cat,7.372886605,13.14344167
Dog,9.456010325,12.83566722
Fox,6.801193163,13.93220184
Cat,9.068905448,16.39536194
Dog,6.580235271,17.57185597
Fox,6.186158997,18.270338
Cat,8.741956261,14.18932744
Dog,6.97797732,13.87851728
Fox,8.468922446,16.34665741
Cat,9.316535921,13.05665105
Dog,5.627518244,14.02497279
Fox,6.3527697,12.96692935
Cat,9.435974225,13.38819628
Dog,7.351653715,14.71391572
Fox,9.857633484,19.04876714
Cat,5.558768303,7.01259969
Dog,7.206955014,12.32899197
Fox,9.722190581,19.9632733
Cat,6.885144689,13.22610497
Dog,9.186587755,16.1993093
Fox,9.130218193,17.98139427
Cat,7.039692772,11.56905755
Dog,6.517686036,11.91670706
Fox,5.92160401,14.34100265
Cat,6.720459448,13.60407217
Dog,5.324065265,13.40625429
Fox,5.30599913,12.52724117
Cat,9.350245456,11.2855581
Dog,5.518640743,15.54086659
Fox,8.043888417,15.65143871
Cat,7.657194379,15.14046846
Dog,5.942010877,13.19955345
Fox,5.603621219,14.25899985
Cat,7.103254968,13.48104841
Dog,5.707983367,10.66088067
Fox,6.73225075,18.80016531
Cat,5.793129375,11.62422114
Dog,5.797592687,14.34606
Fox,8.440087975,16.42285659
Cat,5.600082438,12.43495657
Dog,9.751618279,17.14693173
Fox,7.373067585,11.96643186
Cat,9.097733283,10.15707029
Dog,9.393926345,17.10595504
Fox,7.615520163,15.37397932
Cat,5.135192215,10.12734726
Dog,6.537842318,9.35934621
Fox,7.435928428,15.31279435
Cat,7.976533393,9.073084648
Dog,7.143410086,14.14781063
Fox,9.750922923,18.24002076
Cat,5.383743731,12.71184623
Dog,9.363614519,11.31160983
Fox,5.006705439,13.5262917
Cat,8.698481019,13.06769997
Dog,7.727896373,14.87567696
Fox,6.267155917,16.56703497
Cat,9.637342928,11.08725645
Dog,8.952864935,10.96344354
Fox,6.809287831,13.35617414
Cat,9.449649854,11.13594616
Dog,5.325979691,9.274355601
Fox,5.513382471,12.43870389
Cat,5.960909816,12.78199111
Dog,8.938777014,11.58138015
Fox,7.976788873,16.84201808
Cat,6.542518431,10.57448431
Dog,5.097486319,12.285411
Fox,5.781073572,19.64917163
Cat,6.832129297,11.4343838
Dog,8.550429031,15.1179091
Fox,9.399743015,14.55836443
Cat,8.016388819,12.95838462
Dog,5.233584989,13.01549425
Fox,5.405997783,13.88913273
Cat,9.802071272,13.98185522
Dog,6.206294548,11.22443992
Fox,9.274224582,16.05272981
Cat,7.009131248,11.75766591
Dog,5.41621647,13.53780556
Fox,8.784809935,16.93299508
Cat,6.331811452,11.26565625
Dog,9.265130736,14.65638228
Fox,7.408620861,14.92234251
Cat,9.158747771,14.16466961
Dog,8.49637105,13.72277092
Fox,5.792911182,14.60096861
Cat,5.23689834,8.957073211
Dog,6.134591411,14.13307861
Fox,8.187227063,17.29257203
Cat,7.518238599,10.80084829
Dog,5.189292797,11.02386071
Fox,5.06739654,15.7805207
Cat,8.904034015,8.767281129
Dog,8.250348596,14.13247511
Fox,7.145153021,13.43307368
Cat,9.150088405,8.68996445
Dog,7.992857702,15.52991545
Fox,5.266827088,11.67238113
Cat,7.632440752,10.13175672
Dog,9.541432053,15.9891932
Fox,7.299009459,16.01455722
Cat,6.381963307,11.52409275
Dog,9.884792908,19.67410802
Fox,8.224705352,14.43723029
Cat,5.588791131,8.818412498
Dog,8.023170112,15.09672283
Fox,5.365403507,12.8040418
Cat,7.754113876,12.04563082
Dog,8.857936815,14.33812148
Fox,7.441038143,13.0015355
Cat,7.344503569,9.646900384
Dog,8.077873898,13.17825523
Fox,7.28295058,15.09150962
Cat,6.592967244,11.47462598
Dog,9.050749462,12.00571906
Fox,5.425327481,14.49782428
Cat,5.119372496,7.938366583
Dog,6.744490505,12.6080795
Fox,5.004024407,10.71150866
Cat,7.56869148,12.95556726
Dog,9.936120689,13.40937058
Fox,8.72604703,18.05356936
Cat,8.780670811,13.8968953
Dog,6.310803521,11.90649753
Fox,9.846546512,17.71789383
Cat,8.342363338,12.80339938
Dog,6.495887146,11.12569463
Fox,8.081094177,15.32685706
Cat,5.260381318,8.975711712
Dog,7.731173667,13.16523992
Fox,5.869320602,16.52047129
Cat,9.558214331,9.812613399
Dog,7.537317755,15.32497132
Fox,6.599199572,12.40215039
Cat,5.032877909,9.937731147
Dog,8.963117287,14.97481763
Fox,8.074404794,19.32026954
Cat,7.466298522,12.93299618
Dog,6.979089681,13.27997198
Fox,7.531223398,19.255795
Cat,8.910000335,10.0658202
Dog,8.59071869,17.27927552
Fox,6.795623334,14.45930138
Cat,7.398892282,11.01351965
Dog,6.824099426,13.38233045
Fox,8.871278903,16.77997196
Cat,6.768039936,10.22687869
Dog,5.243154062,12.48357873
Fox,5.117476386,17.49616514
Cat,8.338550844,12.47180058
Dog,5.556299897,12.19807938
Fox,6.632463003,17.90517
Cat,6.269564676,14.46781218
Dog,6.137668243,10.36990799
Fox,7.908486559,17.70261867
Cat,9.696307252,13.72021519
Dog,8.867346144,15.17779183
Fox,5.234795152,14.44224441
Cat,8.52576613,11.82098409
Dog,7.435137206,13.17653772
Fox,6.776368443,14.95062567
Cat,6.3768374,11.10171067
Dog,6.566376232,16.64475688
Fox,5.150845991,14.40835463
Cat,6.461359898,11.68628501
Dog,6.775844089,15.82083881
Fox,8.122992889,15.96120353
Cat,8.985263438,8.36512037
Dog,8.29148808,16.30738056
Fox,7.718988315,18.93973691
Cat,5.904845153,11.20337245
Dog,8.75380123,12.43177468
Fox,7.295714326,17.19398633
Cat,7.369036848,12.6211818
Dog,8.597030897,15.85161585
Fox,6.345792622,15.27595851
Cat,9.003367985,12.42609683
Dog,8.136806325,14.15689679
Fox,7.737311626,20.56068251
Cat,7.100473029,12.7822325
Dog,6.333208101,10.43838246
