isCat,isDog,isFox,t,weight
0,1,0,8.913913626,13.42299261
0,0,1,7.888518526,17.23444758
1,0,0,9.513152663,13.14382765
0,1,0,9.412433981,12.93547167
0,0,1,6.310265127,15.27927143
1,0,0,5.970683895,12.735183
0,1,0,6.372939939,13.60196644
0,0,1,8.423781509,14.62208464
1,0,0,9.829599044,9.376203967
0,1,0,6.655832671,9.369846443
0,0,1,5.220584875,14.86085401
1,0,0,6.322906078,12.38855601
0,1,0,7.071229521,11.56360163
0,0,1,8.506470533,14.27722857
1,0,0,5.217186229,12.58983403
0,1,0,7.5408638,13.75354879
0,0,1,8.383829014,16.80985547
1,0,0,5.717124248,12.65265773
0,1,0,8.786953148,18.77635003
0,0,1,8.505096722,15.23501341
1,0,0,7.398137511,12.19833599
0,1,0,6.42789066,13.43769697
0,0,1,8.187898572,16.04010525
1,0,0,7.502714529,10.90683418
0,1,0,7.554064689,9.787681088
0,0,1,5.809154064,17.02210412
1,0,0,8.935298196,11.82477656
0,1,0,8.219981436,12.52700742
0,0,1,6.160810406,12.77701161
1,0,0,6.131054668,15.11266659
0,1,0,8.174714983,10.58028303
0,0,1,8.630175528,16.42633949
1,0,0,7.328251557,9.390603749
0,1,0,9.586663472,16.35352192
0,0,1,6.248262229,11.86063644
1,0,0,6.459751482,10.49494228
0,1,0,6.319828723,11.38127984
0,0,1,6.746384368,15.57951298
1,0,0,5.080080713,12.82371086
0,1,0,6.516969683,20.64022877
0,0,1,9.452825564,17.24169355
1,0,0,7.629785765,13.99073388
0,1,0,7.336252837,10.84116647
0,0,1,9.499263797,16.04449984
1,0,0,8.764719249,14.59186815
0,1,0,9.725942049,14.64417009
0,0,1,7.712183607,14.9547409
1,0,0,5.108345919,10.45154303
0,1,0,9.381359575,16.99038027
0,0,1,7.784044601,16.09187249
1,0,0,7.6126393,14.0162113
0,1,0,6.715829192,10.18068877
0,0,1,9.606529626,20.32752076
1,0,0,8.632572192,13.60791644
0,1,0,8.83771322,17.30980649
0,0,1,8.707262201,12.78129228
1,0,0,6.666571188,10.24901558
0,1,0,9.314256987,13.64573603
0,0,1,9.760479645,15.58932327
1,0,0,5.150819338,8.388286418
0,1,0,9.348025752,14.09383945
0,0,1,7.860140399,15.07461132
1,0,0,6.092246552,9.35451105
0,1,0,8.265980947,14.33120967
0,0,1,7.668074855,15.60823209
1,0,0,5.768565693,13.39669974
0,1,0,5.198071309,10.88227929
0,0,1,6.050742645,20.00842103
1,0,0,7.067371545,13.09197295
0,1,0,8.238387413,15.03514481
0,0,1,6.573351538,19.91439301
1,0,0,6.885827936,9.206002985
0,1,0,5.87140594,13.69654809
0,0,1,7.316683616,16.89510839
1,0,0,6.533862778,9.663409616
0,1,0,7.099047207,12.02909223
0,0,1,5.026073311,15.19628281
1,0,0,8.580008835,12.60041741
0,1,0,6.396361422,13.18383032
0,0,1,5.315271357,11.65054221
1,0,0,5.859881587,11.10422453
0,1,0,8.286422464,14.46008471
0,0,1,7.851970539,20.88079003
1,0,0,6.040627189,12.32148394
0,1,0,5.093384114,9.798810559
0,0,1,9.235134672,18.62890137
1,0,0,5.428519808,8.867165561
0,1,0,6.706363766,16.59781006
0,0,1,9.663982603,21.66377241
1,0,0,5.613288096,7.983787443
0,1,0,9.245828565,14.63122172
0,0,1,9.76181649,19.0997421
1,0,0,6.278216214,9.578891019
0,1,0,9.395699291,13.68509191
0,0,1,8.980478015,18.89096853
1,0,0,6.817126272,10.63167621
0,1,0,7.524459727,12.41401977
0,0,1,5.161039391,15.09079555
1,0,0,7.691599866,14.2924394
0,1,0,6.63368852,11.83006257
0,0,1,5.71310308,13.94340695
1,0,0,6.082174051,14.38494916
0,1,0,9.369609366,13.60573948
0,0,1,9.521410503,13.11860555
1,0,0,5.145468527,10.89402056
0,1,0,9.395735805,12.26490993
0,0,1,9.728733953,18.67439716
1,0,0,6.774832814,11.8047245
0,1,0,7.679382137,17.67363191
0,0,1,6.488318195,17.99108894
1,0,0,5.475763161,13.75943713
0,1,0,6.905552542,14.25482239
0,0,1,8.164049122,12.07913367
1,0,0,6.156578051,13.83362665
0,1,0,5.679114668,10.47731426
0,0,1,5.942088945,13.00893873
1,0,0,6.011090388,5.939506093
0,1,0,5.351137715,12.75322615
0,0,1,9.83530726,16.63321356
1,0,0,6.635855787,11.67286044
0,1,0,6.63376014,13.29362268
0,0,1,7.765078024,14.34296042
1,0,0,9.327626667,13.05209032
0,1,0,5.089351811,10.66834021
0,0,1,8.909232131,15.43463296
1,0,0,5.816035871,6.637535182
0,1,0,6.994554782,13.78099756
0,0,1,5.799074431,16.76538833
1,0,0,6.11214545,10.84968926
0,1,0,7.966205104,14.24919551
0,0,1,8.106303902,16.31031213
1,0,0,5.673913619,8.980517098
0,1,0,6.456332451,11.94962194
0,0,1,5.699498796,14.9255998
1,0,0,6.90926372,12.69632141
0,1,0,8.304785879,8.95726427
0,0,1,6.713410149,13.46337866
1,0,0,9.620247025,12.52395442
0,1,0,8.316651781,15.10406001
0,0,1,5.462603054,19.25248428
1,0,0,7.372886605,13.14344167
0,1,0,9.456010325,12.83566722
0,0,1,6.801193163,13.93220184
1,0,0,9.068905448,16.39536194
0,1,0,6.580235271,17.57185597
0,0,1,6.186158997,18.270338
1,0,0,8.741956261,14.18932744
0,1,0,6.97797732,13.87851728
0,0,1,8.468922446,16.34665741
1,0,0,9.316535921,13.05665105
0,1,0,5.627518244,14.02497279
0,0,1,6.3527697,12.96692935
1,0,0,9.435974225,13.38819628
0,1,0,7.351653715,14.71391572
0,0,1,9.857633484,19.04876714
1,0,0,5.558768303,7.01259969
0,1,0,7.206955014,12.32899197
0,0,1,9.722190581,19.9632733
1,0,0,6.885144689,13.22610497
0,1,0,9.186587755,16.1993093
0,0,1,9.130218193,17.98139427
1,0,0,7.039692772,11.56905755
0,1,0,6.517686036,11.91670706
0,0,1,5.92160401,14.34100265
1,0,0,6.720459448,13.60407217
0,1,0,5.324065265,13.40625429
0,0,1,5.30599913,12.52724117
1,0,0,9.350245456,11.2855581
0,1,0,5.518640743,15.54086659
0,0,1,8.043888417,15.65143871
1,0,0,7.657194379,15.14046846
0,1,0,5.942010877,13.19955345
0,0,1,5.603621219,14.25899985
1,0,0,7.103254968,13.48104841
0,1,0,5.707983367,10.66088067
0,0,1,6.73225075,18.80016531
1,0,0,5.793129375,11.62422114
0,1,0,5.797592687,14.34606
0,0,1,8.440087975,16.42285659
1,0,0,5.600082438,12.43495657
0,1,0,9.751618279,17.14693173
0,0,1,7.373067585,11.96643186
1,0,0,9.097733283,10.15707029
0,1,0,9.393926345,17.10595504
0,0,1,7.615520163,15.37397932
1,0,0,5.135192215,10.12734726
0,1,0,6.537842318,9.35934621
0,0,1,7.435928428,15.31279435
1,0,0,7.976533393,9.073084648
0,1,0,7.143410086,14.14781063
0,0,1,9.750922923,18.24002076
1,0,0,5.383743731,12.71184623
0,1,0,9.363614519,11.31160983
0,0,1,5.006705439,13.5262917
1,0,0,8.698481019,13.06769997
0,1,0,7.727896373,14.87567696
0,0,1,6.267155917,16.56703497
1,0,0,9.637342928,11.08725645
0,1,0,8.952864935,10.96344354
0,0,1,6.809287831,13.35617414
1,0,0,9.449649854,11.13594616
0,1,0,5.325979691,9.274355601
0,0,1,5.513382471,12.43870389
1,0,0,5.960909816,12.78199111
0,1,0,8.938777014,11.58138015
0,0,1,7.976788873,16.84201808
1,0,0,6.542518431,10.57448431
0,1,0,5.097486319,12.285411
0,0,1,5.781073572,19.64917163
1,0,0,6.832129297,11.4343838
0,1,0,8.550429031,15.1179091
0,0,1,9.399743015,14.55836443
1,0,0,8.016388819,12.95838462
0,1,0,5.233584989,13.01549425
0,0,1,5.405997783,13.88913273
1,0,0,9.802071272,13.98185522
0,1,0,6.206294548,11.22443992
0,0,1,9.274224582,16.05272981
1,0,0,7.009131248,11.75766591
0,1,0,5.41621647,13.53780556
0,0,1,8.784809935,16.93299508
1,0,0,6.331811452,11.26565625
0,1,0,9.265130736,14.65638228
0,0,1,7.408620861,14.92234251
1,0,0,9.158747771,14.16466961
0,1,0,8.49637105,13.72277092
0,0,1,5.792911182,14.60096861
1,0,0,5.23689834,8.957073211
0,1,0,6.134591411,14.13307861
0,0,1,8.187227063,17.29257203
1,0,0,7.518238599,10.80084829
0,1,0,5.189292797,11.02386071
0,0,1,5.06739654,15.7805207
1,0,0,8.904034015,8.767281129
0,1,0,8.250348596,14.13247511
0,0,1,7.145153021,13.43307368
1,0,0,9.150088405,8.68996445
0,1,0,7.992857702,15.52991545
0,0,1,5.266827088,11.67238113
1,0,0,7.632440752,10.13175672
0,1,0,9.541432053,15.9891932
0,0,1,7.299009459,16.01455722
1,0,0,6.381963307,11.52409275
0,1,0,9.884792908,19.67410802
0,0,1,8.224705352,14.43723029
1,0,0,5.588791131,8.818412498
0,1,0,8.023170112,15.09672283
0,0,1,5.365403507,12.8040418
1,0,0,7.754113876,12.04563082
0,1,0,8.857936815,14.33812148
0,0,1,7.441038143,13.0015355
1,0,0,7.344503569,9.646900384
0,1,0,8.077873898,13.17825523
0,0,1,7.28295058,15.09150962
1,0,0,6.592967244,11.47462598
0,1,0,9.050749462,12.00571906
0,0,1,5.425327481,14.49782428
1,0,0,5.119372496,7.938366583
0,1,0,6.744490505,12.6080795
0,0,1,5.004024407,10.71150866
1,0,0,7.56869148,12.95556726
0,1,0,9.936120689,13.40937058
0,0,1,8.72604703,18.05356936
1,0,0,8.780670811,13.8968953
0,1,0,6.310803521,11.90649753
0,0,1,9.846546512,17.71789383
1,0,0,8.342363338,12.80339938
0,1,0,6.495887146,11.12569463
0,0,1,8.081094177,15.32685706
1,0,0,5.260381318,8.975711712
0,1,0,7.731173667,13.16523992
0,0,1,5.869320602,16.52047129
1,0,0,9.558214331,9.812613399
0,1,0,7.537317755,15.32497132
0,0,1,6.599199572,12.40215039
1,0,0,5.032877909,9.937731147
0,1,0,8.963117287,14.97481763
0,0,1,8.074404794,19.32026954
1,0,0,7.466298522,12.93299618
0,1,0,6.979089681,13.27997198
0,0,1,7.531223398,19.255795
1,0,0,8.910000335,10.0658202
0,1,0,8.59071869,17.27927552
0,0,1,6.795623334,14.45930138
1,0,0,7.398892282,11.01351965
0,1,0,6.824099426,13.38233045
0,0,1,8.871278903,16.77997196
1,0,0,6.768039936,10.22687869
0,1,0,5.243154062,12.48357873
0,0,1,5.117476386,17.49616514
1,0,0,8.338550844,12.47180058
0,1,0,5.556299897,12.19807938
0,0,1,6.632463003,17.90517
1,0,0,6.269564676,14.46781218
0,1,0,6.137668243,10.36990799
0,0,1,7.908486559,17.70261867
1,0,0,9.696307252,13.72021519
0,1,0,8.867346144,15.17779183
0,0,1,5.234795152,14.44224441
1,0,0,8.52576613,11.82098409
0,1,0,7.435137206,13.17653772
0,0,1,6.776368443,14.95062567
1,0,0,6.3768374,11.10171067
0,1,0,6.566376232,16.64475688
0,0,1,5.150845991,14.40835463
1,0,0,6.461359898,11.68628501
0,1,0,6.775844089,15.82083881
0,0,1,8.122992889,15.96120353
1,0,0,8.985263438,8.36512037
0,1,0,8.29148808,16.30738056
0,0,1,7.718988315,18.93973691
1,0,0,5.904845153,11.20337245
0,1,0,8.75380123,12.43177468
0,0,1,7.295714326,17.19398633
1,0,0,7.369036848,12.6211818
0,1,0,8.597030897,15.85161585
0,0,1,6.345792622,15.27595851
1,0,0,9.003367985,12.42609683
0,1,0,8.136806325,14.15689679
0,0,1,7.737311626,20.56068251
1,0,0,7.100473029,12.7822325
0,1,0,6.333208101,10.43838246
