isCat,isUnicorn,isWerewolf,isDark,t,weight
0,0,1,0,6.42331712,17.73870401
1,0,0,1,8.457505565,6.54856489
0,1,0,1,6.021873249,16.60075525
0,0,1,1,5.892735738,23.87747602
1,0,0,0,9.683582582,5.619026419
0,1,0,0,9.156653797,106.8896847
0,0,1,0,5.431555299,18.28031971
1,0,0,1,7.508761678,8.233577187
0,1,0,1,6.473070822,21.53847138
0,0,1,1,7.589844837,22.74531139
1,0,0,0,5.323148103,5.158393133
0,1,0,0,9.777815785,115.4863579
0,0,1,0,9.677257433,9.97347064
1,0,0,1,6.67903231,5.567513497
0,1,0,1,5.377980839,18.46269046
0,0,1,1,7.138538822,17.36717072
1,0,0,0,6.06848156,7.899947806
0,1,0,0,5.513477946,45.68659769
0,0,1,0,8.794799701,20.48737248
1,0,0,1,7.548020365,5.151200938
0,1,0,1,6.551070048,18.70240862
0,0,1,1,5.9748836,21.27974162
1,0,0,0,8.343910219,7.42257998
0,1,0,0,6.01737118,54.37412485
0,0,1,0,5.205399806,14.88981109
1,0,0,1,6.699873842,9.438699255
0,1,0,1,7.901142168,16.99934979
0,0,1,1,9.47162699,28.54094191
1,0,0,0,9.243051549,10.325985
0,1,0,0,5.170296241,44.87570748
0,0,1,0,7.005985479,16.77352175
1,0,0,1,7.681299541,5.209138211
0,1,0,1,8.16522912,21.33247412
0,0,1,1,9.994739229,22.57966134
1,0,0,0,7.592373355,5.49378936
0,1,0,0,7.549604312,77.80903747
0,0,1,0,8.176410622,16.52217377
1,0,0,1,7.34714475,10.26807572
0,1,0,1,8.122680863,16.84637064
0,0,1,1,7.369930771,15.97885246
1,0,0,0,9.282577288,5.994004495
0,1,0,0,5.639827402,51.91515913
0,0,1,0,8.684555465,13.29911234
1,0,0,1,6.969541648,6.980422643
0,1,0,1,8.618142099,18.45955884
0,0,1,1,6.067014039,18.10089017
1,0,0,0,8.770073059,5.214303981
0,1,0,0,7.35220113,73.64947806
0,0,1,0,5.998885703,16.0002293
1,0,0,1,5.869660678,7.644675533
0,1,0,1,7.894447549,18.43541696
0,0,1,1,5.813779535,21.2698802
1,0,0,0,8.980857228,9.459570671
0,1,0,0,8.729179328,99.65357546
0,0,1,0,8.178074249,17.37552854
1,0,0,1,5.467034383,3.745847361
0,1,0,1,6.531040486,20.21195085
0,0,1,1,7.274793066,16.22570412
1,0,0,0,7.881592776,6.707619448
0,1,0,0,5.543695068,46.34380491
0,0,1,0,6.738072001,20.34324358
1,0,0,1,7.713041328,3.619150697
0,1,0,1,5.735019661,14.29610645
0,0,1,1,9.087813133,23.91307522
1,0,0,0,6.795493776,4.7331042
0,1,0,0,9.255477723,106.0347248
0,0,1,0,6.589322617,14.51323225
1,0,0,1,7.6440621,7.641535488
0,1,0,1,5.290816678,14.95660254
0,0,1,1,7.7398004,20.98022183
1,0,0,0,7.884338241,8.494701825
0,1,0,0,6.535453358,60.45737446
0,0,1,0,5.528909178,11.97862818
1,0,0,1,6.04957551,5.193225561
0,1,0,1,6.218009349,16.6875809
0,0,1,1,9.425995096,19.35100444
1,0,0,0,8.282731984,8.192523968
0,1,0,0,7.428413808,72.32179412
0,0,1,0,9.108395905,21.79376114
1,0,0,1,6.133096008,6.951294552
0,1,0,1,8.249132713,22.17206765
0,0,1,1,9.010332768,19.27488148
1,0,0,0,5.831670456,7.908188594
0,1,0,0,9.187403634,106.5853729
0,0,1,0,8.201248616,16.6792165
1,0,0,1,6.417406235,8.751020089
0,1,0,1,8.589912551,23.54915239
0,0,1,1,9.987516215,23.87560808
1,0,0,0,5.446496539,7.927829718
0,1,0,0,7.106607395,75.80217043
0,0,1,0,6.508209656,13.45844282
1,0,0,1,8.917474178,5.787990227
0,1,0,1,5.19779034,18.98824017
0,0,1,1,5.226676274,16.58943228
1,0,0,0,7.06881939,8.460306526
0,1,0,0,7.976247424,83.83544394
0,0,1,0,8.274774189,16.83310495
1,0,0,1,6.128489877,8.544255086
0,1,0,1,8.911395574,20.35258014
0,0,1,1,6.025422297,18.32535084
1,0,0,0,9.943150603,6.000065184
0,1,0,0,7.706365635,81.05318463
0,0,1,0,9.647009687,20.24949828
1,0,0,1,5.778707327,5.101643133
0,1,0,1,8.063153387,23.37852835
0,0,1,1,7.526818548,20.09316459
1,0,0,0,6.64220206,7.337499019
0,1,0,0,9.939281349,120.2129719
0,0,1,0,5.715567109,15.00253882
1,0,0,1,6.468735375,4.030541234
0,1,0,1,7.695742044,19.47337513
0,0,1,1,9.620491282,19.99310534
1,0,0,0,8.130699893,6.456720678
0,1,0,0,7.951961881,88.84109968
0,0,1,0,8.882821034,20.09132565
1,0,0,1,6.144585087,4.255904108
0,1,0,1,7.12718533,16.78525926
0,0,1,1,6.233477689,12.96220422
1,0,0,0,9.191688949,3.052932695
0,1,0,0,8.478369284,93.00396935
0,0,1,0,8.054876937,18.13131089
1,0,0,1,7.708554268,5.743454779
0,1,0,1,9.484776528,18.07499744
0,0,1,1,5.532195208,15.40812205
1,0,0,0,9.992126926,9.306940422
0,1,0,0,7.767937285,75.29275046
0,0,1,0,6.846287879,17.94201092
1,0,0,1,6.702988759,4.657589051
0,1,0,1,9.55867224,21.62496893
0,0,1,1,9.802174617,21.52935651
1,0,0,0,8.215457886,7.617699615
0,1,0,0,6.335438672,60.85335792
0,0,1,0,7.773881705,12.3728102
1,0,0,1,6.744013063,6.1529916
0,1,0,1,7.012721377,17.77527399
0,0,1,1,8.507895737,20.28385843
1,0,0,0,7.210742091,8.339862193
0,1,0,0,6.06011717,54.99347815
0,0,1,0,9.873409281,16.10829417
1,0,0,1,5.906751545,6.558736594
0,1,0,1,9.925356338,21.40942843
0,0,1,1,9.134716727,12.91379444
1,0,0,0,7.396485587,5.677655685
0,1,0,0,9.278066052,106.9675715
0,0,1,0,8.009772551,15.77228021
1,0,0,1,8.994410316,7.7706976
0,1,0,1,7.886244966,20.30450813
0,0,1,1,6.104376461,16.17768362
1,0,0,0,9.499825435,5.332319539
0,1,0,0,9.042479363,104.1658718
0,0,1,0,7.979048291,14.81806109
1,0,0,1,9.180019819,6.37882426
0,1,0,1,8.306303352,16.94360618
0,0,1,1,7.538578569,19.81917278
1,0,0,0,9.571286899,7.266612827
0,1,0,0,5.780510191,53.65657811
0,0,1,0,5.505330599,14.1042586
1,0,0,1,6.617237421,9.216354938
0,1,0,1,8.800251847,21.04366593
0,0,1,1,8.363589336,25.29139689
1,0,0,0,6.13648165,6.589944852
0,1,0,0,9.926676355,118.9062544
0,0,1,0,6.395141213,16.77899842
1,0,0,1,6.974157486,7.000398885
0,1,0,1,8.676803354,22.67806496
0,0,1,1,8.231424358,22.94658887
1,0,0,0,5.839491291,8.418728067
0,1,0,0,7.021504544,67.85585038
0,0,1,0,7.177781562,19.31071131
1,0,0,1,6.166892406,6.334587345
0,1,0,1,9.22792794,20.49319629
0,0,1,1,5.734368749,19.24886551
1,0,0,0,5.522164473,9.108057408
0,1,0,0,5.266791919,42.43274609
0,0,1,0,5.345954963,14.75774102
1,0,0,1,5.427019347,8.093247465
0,1,0,1,5.057358732,15.8065412
0,0,1,1,8.425196651,17.96728535
1,0,0,0,8.674185528,6.926683874
0,1,0,0,7.935029518,80.35819045
0,0,1,0,8.572075186,17.34387951
1,0,0,1,5.166590502,6.851268975
0,1,0,1,7.707561682,20.26309513
0,0,1,1,7.989459939,12.59339564
1,0,0,0,6.036731515,9.524485098
0,1,0,0,6.587822339,58.43795096
0,0,1,0,8.381550042,13.97201695
1,0,0,1,6.538682242,3.642985346
0,1,0,1,9.972900708,23.98807017
0,0,1,1,6.277689489,23.14915065
1,0,0,0,6.122559803,4.711802271
0,1,0,0,8.265635837,86.66086095
0,0,1,0,7.233168806,19.61791422
1,0,0,1,8.820312126,5.160286373
0,1,0,1,6.684123193,18.86790626
0,0,1,1,6.789979654,20.81338519
1,0,0,0,8.140536559,5.669007313
0,1,0,0,8.546842887,89.35031749
0,0,1,0,9.297451906,22.84267172
1,0,0,1,5.573472705,4.079015164
0,1,0,1,6.945619807,21.13393729
0,0,1,1,5.007291728,10.8787964
1,0,0,0,8.722470596,3.780461786
0,1,0,0,7.05137989,67.40353526
0,0,1,0,8.516739111,20.66657166
1,0,0,1,9.869511961,7.785120171
0,1,0,1,8.725066272,21.6057009
0,0,1,1,7.08148573,20.82100549
1,0,0,0,5.69202563,5.587612958
0,1,0,0,5.903123866,46.61739229
0,0,1,0,8.623991071,13.99970875
1,0,0,1,5.728033333,7.729131394
0,1,0,1,5.943644595,20.30906629
0,0,1,1,6.976923698,17.24996022
1,0,0,0,9.193773582,7.24935937
0,1,0,0,5.487526453,48.521342
0,0,1,0,7.097301701,12.42380371
1,0,0,1,8.588212326,6.899323895
0,1,0,1,9.216178991,17.66209604
0,0,1,1,8.709884318,21.20791144
1,0,0,0,8.861826343,6.663310525
0,1,0,0,6.02762512,57.07128032
0,0,1,0,6.461938478,15.34627084
1,0,0,1,5.133904106,6.141850877
0,1,0,1,8.043006986,17.04916505
0,0,1,1,7.695924211,16.36757312
1,0,0,0,7.350328875,4.985566143
0,1,0,0,8.576322002,95.53035965
0,0,1,0,8.189756575,16.18773142
1,0,0,1,6.066731511,8.090832055
0,1,0,1,7.907244355,18.0033367
0,0,1,1,5.811905961,15.22057245
1,0,0,0,9.209877753,3.850116197
0,1,0,0,5.561937982,49.46000972
0,0,1,0,5.939067789,14.34927707
1,0,0,1,6.88063936,5.055648412
0,1,0,1,5.977544989,14.35937942
0,0,1,1,8.268213585,15.70827249
1,0,0,0,8.36887987,6.9621682
0,1,0,0,5.001152169,42.14699379
0,0,1,0,6.977744153,18.00749909
1,0,0,1,6.323889968,7.288865179
0,1,0,1,6.363452958,14.84002972
0,0,1,1,5.274389311,15.16860659
1,0,0,0,7.366535198,5.715260178
0,1,0,0,9.167440804,110.2666586
0,0,1,0,6.748051415,16.41178278
1,0,0,1,6.087586583,7.729224578
0,1,0,1,5.57075615,18.62555574
0,0,1,1,5.92058161,23.91504096
1,0,0,0,5.536821393,5.28870428
0,1,0,0,8.528429841,93.78272531
0,0,1,0,5.829911794,15.44682858
1,0,0,1,7.018260104,10.63260338
0,1,0,1,9.335939958,16.45701149
0,0,1,1,6.785211499,18.39508383
1,0,0,0,5.843342446,6.029205572
0,1,0,0,5.106567934,41.90836156
0,0,1,0,9.871465382,20.18190604
1,0,0,1,7.716095977,5.714612853
0,1,0,1,8.23503926,17.41597832
0,0,1,1,9.974796269,18.85094311
1,0,0,0,9.429031047,4.052789765
0,1,0,0,6.914653379,66.14442794
0,0,1,0,7.803348548,19.68511485
1,0,0,1,7.215652391,4.949158422
0,1,0,1,6.008222321,13.63444128
0,0,1,1,7.436986335,17.33172525
1,0,0,0,5.544734159,7.575395699
0,1,0,0,8.690912978,97.22982245
0,0,1,0,6.133823229,13.08843348
1,0,0,1,6.162766059,10.03251377
0,1,0,1,9.199058958,25.97871736
0,0,1,1,6.558537298,20.68868903
1,0,0,0,5.637419676,6.636341486
0,1,0,0,7.277659321,76.17754827
0,0,1,0,8.097322993,20.53507375
1,0,0,1,9.670535233,4.999288541
0,1,0,1,7.240732981,17.07739793
0,0,1,1,7.923781128,18.81692516
1,0,0,0,7.606002772,9.114043067
0,1,0,0,9.272176724,109.4001225
0,0,1,0,8.303965488,19.92085366
1,0,0,1,8.57055354,4.606808047
0,1,0,1,5.222724351,19.67330747
0,0,1,1,8.253426045,17.2545609
1,0,0,0,6.538351598,7.015310786
0,1,0,0,7.173159535,67.30924122
0,0,1,0,7.638915165,20.3551583
1,0,0,1,6.932665037,7.974793551
0,1,0,1,6.378547693,19.03535113
0,0,1,1,8.555505381,20.7144802
1,0,0,0,6.844468779,5.163799641
0,1,0,0,5.749538956,52.27430423
0,0,1,0,6.292126513,14.16335957
1,0,0,1,5.516309392,6.313713206
0,1,0,1,9.230965311,23.77633906
0,0,1,1,5.132773005,16.38309031
1,0,0,0,9.434120594,6.041467533
0,1,0,0,7.50825031,74.67475492
0,0,1,0,5.611849007,16.73042116
1,0,0,1,6.671666937,7.240330791
0,1,0,1,7.194028894,18.01084467
0,0,1,1,9.825147822,30.31068343
1,0,0,0,5.824289189,3.146582191
0,1,0,0,5.62049104,47.63056328
0,0,1,0,9.356866477,16.6628948
1,0,0,1,7.094842239,4.502098907
0,1,0,1,6.690163192,18.00340242
0,0,1,1,8.383583866,21.20659691
1,0,0,0,9.894501908,6.605984052
0,1,0,0,9.489266757,115.2312559
0,0,1,0,5.752856779,13.97260591
1,0,0,1,9.842931507,6.766552516
0,1,0,1,9.293255797,22.19488506
0,0,1,1,6.459847311,16.13836707
1,0,0,0,9.916193251,4.865171458
0,1,0,0,7.703641786,77.03309161
0,0,1,0,7.282020037,16.76281124
1,0,0,1,9.694364467,4.473099461
0,1,0,1,6.693908003,15.08903922
0,0,1,1,7.191920601,21.2626895
1,0,0,0,6.615175455,9.860867008
0,1,0,0,6.152069348,54.13430142
0,0,1,0,9.246446577,19.19566395
1,0,0,1,8.063580564,8.11470227
0,1,0,1,7.300037436,16.05036295
0,0,1,1,5.475199228,16.65505109
1,0,0,0,9.963572819,5.979847503
0,1,0,0,5.249827071,43.64455846
0,0,1,0,6.527406232,12.63739345
1,0,0,1,7.443088952,8.817588323
0,1,0,1,6.815685611,14.84479042
0,0,1,1,5.172503363,17.93608878
1,0,0,0,6.361154366,7.351504235
0,1,0,0,5.673234539,51.91519853
0,0,1,0,5.719790557,15.60363744
1,0,0,1,7.117171156,6.308128508
0,1,0,1,7.955902583,19.8233261
0,0,1,1,8.697296312,20.70663164
1,0,0,0,7.459278333,4.700960218
0,1,0,0,9.189792992,103.4198285
0,0,1,0,5.766132962,14.3224329
1,0,0,1,6.564506735,7.24460316
0,1,0,1,8.378686594,14.79938846
0,0,1,1,6.647168347,18.3106179
1,0,0,0,6.477029884,8.19653665
0,1,0,0,8.002060267,80.03240872
0,0,1,0,9.075663681,16.5680931
1,0,0,1,8.734455073,9.067545044
0,1,0,1,8.344719688,14.16300886
0,0,1,1,8.858138789,19.49050046
1,0,0,0,5.466829246,7.648480345
0,1,0,0,9.54112139,113.1505729
0,0,1,0,8.330429737,13.51774991
1,0,0,1,7.574618976,4.265671785
0,1,0,1,6.273594756,20.90207412
0,0,1,1,9.307067219,22.64030948
1,0,0,0,5.138384835,5.650586878
0,1,0,0,7.599405211,77.00020248
0,0,1,0,8.012925245,16.43376513
1,0,0,1,9.987963105,5.500358985
0,1,0,1,8.437829641,16.60401872
0,0,1,1,8.197395794,22.66483544
1,0,0,0,5.083996479,5.747455734
0,1,0,0,7.556717377,78.96791641
0,0,1,0,7.186267672,14.78301485
1,0,0,1,9.487637679,3.497814238
0,1,0,1,5.002250708,19.02319604
0,0,1,1,5.584831398,15.83596376
1,0,0,0,7.419214327,7.428767814
0,1,0,0,7.922502663,79.24650356
0,0,1,0,5.000347175,12.08124931
1,0,0,1,9.167219083,8.822141252
0,1,0,1,8.540954234,14.61490715
0,0,1,1,8.194100793,20.22708635
1,0,0,0,5.5770581,6.589915122
0,1,0,0,6.449404283,59.47305705
0,0,1,0,7.066746375,18.81302348
1,0,0,1,8.941609509,8.679273464
0,1,0,1,8.214938792,12.65634836
0,0,1,1,9.66379642,21.65279029
1,0,0,0,9.613211441,5.263980206
0,1,0,0,8.562287811,94.10069082
0,0,1,0,7.882261493,20.33178067
1,0,0,1,5.619790721,4.478082674
0,1,0,1,9.282379628,24.63470995
0,0,1,1,7.7575917,22.91923722
1,0,0,0,9.481537394,7.701172901
0,1,0,0,8.063000262,88.60224147
0,0,1,0,8.149525039,14.78974692
1,0,0,1,8.993739876,6.09140689
0,1,0,1,9.775343917,25.01214224
0,0,1,1,8.78599433,19.93236283
1,0,0,0,9.76690053,8.292298544
0,1,0,0,5.050215259,42.84085715
0,0,1,0,8.128452802,12.01856274
1,0,0,1,5.930072461,9.00084571
0,1,0,1,7.748347598,21.14645722
0,0,1,1,5.852397163,16.99661267
1,0,0,0,8.29910946,4.234082405
0,1,0,0,5.195402762,40.94086235
0,0,1,0,5.365043308,13.84240498
1,0,0,1,5.589794726,6.926874788
0,1,0,1,9.515002172,27.14437761
0,0,1,1,6.123314068,18.39469849
1,0,0,0,7.123715535,8.228210685
0,1,0,0,8.66758609,98.56797862
0,0,1,0,6.045406538,16.94756144
1,0,0,1,8.919553845,5.87312487
0,1,0,1,5.455009556,17.51695518
0,0,1,1,7.960843813,20.61022648
1,0,0,0,9.655221256,8.553299573
0,1,0,0,7.992074307,82.8288676
0,0,1,0,7.06366242,15.16748909
1,0,0,1,5.972503086,8.558704695
0,1,0,1,6.827738488,15.59628875
0,0,1,1,5.443080355,16.83988087
1,0,0,0,5.609303085,6.011729834
0,1,0,0,6.308353881,55.2961997
0,0,1,0,9.94382803,16.86387667
1,0,0,1,9.43433466,6.353646441
0,1,0,1,8.22729791,19.07894231
0,0,1,1,8.614332245,20.77596914
1,0,0,0,5.793038404,6.200201118
0,1,0,0,5.650197349,47.26256742
0,0,1,0,8.69852689,16.80756949
1,0,0,1,9.771677396,7.98307485
0,1,0,1,6.521456362,22.10416304
0,0,1,1,8.254037197,19.5762435
1,0,0,0,5.433411351,9.060380483
0,1,0,0,9.317678341,108.5037447
0,0,1,0,5.900331935,15.83665281
1,0,0,1,6.580979671,7.993944616
0,1,0,1,9.597986019,21.30015477
0,0,1,1,7.181070202,20.59208483
1,0,0,0,9.9843412,8.062340614
0,1,0,0,7.05182655,64.48610954
0,0,1,0,6.560886916,17.83308948
1,0,0,1,5.522994915,3.633233385
0,1,0,1,7.25813211,24.48629278
