Animal,t,weight
Dog,5.871368905,10.35609398
Fox,5.477647788,15.04982017
Cat,8.782535812,8.066706563
Dog,8.979047104,15.38873746
Fox,7.541026573,11.64952645
Cat,7.392507069,11.88869211
Dog,7.966593747,15.79161905
Fox,7.362198373,13.41722348
Cat,8.244928303,9.56616539
Dog,7.331117262,14.52409587
Fox,7.176761935,16.77331363
Cat,6.771972861,11.59113744
Dog,5.311305597,10.90496359
Fox,9.994967872,15.92231729
Cat,8.647327478,9.764190463
Dog,5.01800288,17.4133737
Fox,7.26049571,18.08493063
Cat,6.86884933,8.293461814
Dog,5.102022576,11.12708106
Fox,5.63626996,12.93821036
Cat,7.933349471,9.965559917
Dog,8.752801644,13.49078312
Fox,7.813378491,15.56586432
Cat,7.749982332,11.12517006
Dog,5.70351424,14.54394191
Fox,6.577552901,14.91108163
Cat,5.986147243,10.67395215
Dog,5.081292731,13.9372766
Fox,5.661177757,15.24292927
Cat,7.27357087,13.68533716
Dog,8.567264631,15.53574637
Fox,8.488838857,17.20150465
Cat,5.691373955,5.718446172
Dog,7.753622247,15.30819874
Fox,9.314585992,17.09111799
Cat,6.999602913,8.329080912
Dog,5.732141124,14.39380668
Fox,5.253782456,14.55767673
Cat,8.750985981,9.385826691
Dog,5.40965992,18.05046659
Fox,7.181244062,13.19267298
Cat,5.771165446,8.896184315
Dog,6.698260638,15.09339437
Fox,6.746483099,11.93311588
Cat,7.613549543,10.92431492
Dog,5.848727142,13.48760485
Fox,6.624097155,19.39305973
Cat,7.231273238,8.318686359
Dog,5.31431541,8.997563181
Fox,8.808003123,15.0550541
Cat,8.407122238,10.73986098
Dog,5.451989834,10.40761504
Fox,7.432790211,12.5151177
Cat,8.637156735,13.82967247
Dog,9.476898001,15.67108524
Fox,7.281514973,17.72359637
Cat,5.9582747,6.925541662
Dog,6.084038843,13.46318866
Fox,8.436583044,11.66843345
Cat,5.046016412,13.78117131
Dog,7.506663324,9.915933163
Fox,9.217827993,12.77745879
Cat,5.898469615,8.706777311
Dog,5.147270439,12.03786181
Fox,7.248448745,16.55960307
Cat,8.019418609,8.1283474
Dog,7.655687847,17.21833614
Fox,7.803097786,14.28242891
Cat,9.754764194,13.88846626
Dog,8.387649773,15.34399839
Fox,6.625184616,12.72587869
Cat,9.996560645,16.41059084
Dog,6.364165418,12.54257892
Fox,5.554167728,14.21130791
Cat,9.213586489,10.76018101
Dog,5.233842397,10.50722263
Fox,5.041007213,13.72085536
Cat,6.399098834,6.824419418
Dog,5.110109529,13.50736996
Fox,9.369147173,15.06332108
Cat,8.693219255,13.81079246
Dog,5.182458443,11.35734841
Fox,9.258308253,20.82411839
Cat,9.537753131,14.7051928
Dog,5.08984502,10.5966286
Fox,9.429542605,19.73739802
Cat,9.720652583,13.93555044
Dog,9.374809408,17.34691585
Fox,5.159781133,16.27805742
Cat,6.82718683,9.659341172
Dog,7.122236511,14.92524552
Fox,9.90163741,15.0925091
Cat,9.755209193,14.07297741
Dog,5.610727621,16.36919834
Fox,8.292036396,14.75046585
Cat,9.395909307,5.546703081
Dog,9.924894417,17.00697965
Fox,8.484164772,16.38564823
Cat,8.154026908,12.91656095
Dog,9.638770162,13.79886572
Fox,6.185988386,20.23144696
Cat,9.864764281,11.53384214
Dog,6.390680211,19.08009493
Fox,8.56113413,16.94270862
Cat,5.757923738,7.231422318
Dog,5.513837387,10.00489528
Fox,6.25002746,14.71135227
Cat,7.974067881,12.20427809
Dog,5.615728508,14.61094223
Fox,5.396765958,15.96450101
Cat,5.613452807,15.12608473
Dog,9.241374854,17.79018586
Fox,8.336834373,14.26974011
Cat,5.389676184,6.41887614
Dog,9.012556461,19.59151695
Fox,5.055297984,16.1299182
Cat,6.665744397,11.31663734
Dog,7.615334941,12.167298
Fox,9.958920794,19.91391635
Cat,6.274889279,12.79079157
Dog,6.606701737,10.99579892
Fox,7.339982146,17.74229244
Cat,7.895044716,15.83643892
Dog,7.799306229,19.55071211
Fox,8.695564693,16.64961757
Cat,8.682217919,17.84284844
Dog,5.787033535,16.3824309
Fox,7.021975118,14.91312189
Cat,7.133559883,8.340549385
Dog,7.722250724,15.84320278
Fox,6.811326392,15.66674105
Cat,7.355237051,10.51431093
Dog,5.706792646,12.15083547
Fox,6.238697932,14.13347439
Cat,6.540125147,10.02069927
Dog,7.498343431,8.883865664
Fox,5.295537726,12.02705993
Cat,5.980270185,8.200281522
Dog,8.036505015,10.74445588
Fox,5.021052538,19.16732024
Cat,7.609316618,7.919575384
Dog,9.110143133,15.36713394
Fox,8.635657899,18.06868751
Cat,8.403950661,14.4047866
Dog,9.649216993,18.25131614
Fox,9.74776922,20.92471315
Cat,9.366847856,11.89924512
Dog,7.793721304,14.77870983
Fox,5.640267918,17.41473924
Cat,6.473810166,10.7091063
Dog,9.739538379,14.49595568
Fox,7.233448024,22.1088676
Cat,6.287346719,9.989509516
Dog,8.544821572,14.55988603
Fox,9.184544657,17.6509548
Cat,5.782166545,8.735781707
Dog,6.498219421,11.56686363
Fox,5.097330367,14.09176166
Cat,6.091491923,9.29015751
Dog,9.846350474,17.58377099
Fox,7.772686569,20.15853582
Cat,7.626350451,13.03099055
Dog,7.395942434,10.85102229
Fox,9.558792983,16.37363223
Cat,6.738653004,13.19272275
Dog,7.467413531,14.22424939
Fox,8.048544277,20.39460767
Cat,7.526238752,9.914587117
Dog,7.806115951,13.93918787
Fox,6.203406047,13.42756017
Cat,7.437833579,12.5029059
Dog,9.042378897,17.99440763
Fox,7.876826109,16.39479471
Cat,9.487727728,7.756379916
Dog,6.116872259,10.32334529
Fox,6.799557222,16.65553347
Cat,6.265847531,13.37507018
Dog,7.126269885,12.75009823
Fox,8.819463866,15.56372462
Cat,7.383945907,14.36436271
Dog,7.672186276,12.36435806
Fox,6.158789913,16.72343332
Cat,5.12709991,12.14080983
Dog,7.68907159,15.11520305
Fox,8.237843974,22.14860172
Cat,6.794546298,11.27036166
Dog,8.324622603,19.41932065
Fox,9.504510655,14.29213989
Cat,9.19058285,10.26368374
Dog,5.742326371,20.12015629
Fox,5.813713041,16.59953759
Cat,6.686712159,11.81413124
Dog,9.333445905,15.24485508
Fox,5.361037368,18.6190205
Cat,8.801930389,8.910221313
Dog,7.782875473,14.89813722
Fox,6.385515186,17.16901287
Cat,6.297282415,8.426999209
Dog,7.476325304,15.46991795
Fox,9.901028894,16.15393536
Cat,6.004432952,12.45790683
Dog,9.869720485,14.87472564
Fox,9.279096016,19.44691793
Cat,8.511580295,5.457149453
Dog,7.666518857,16.37448017
Fox,9.947732729,16.97003753
Cat,6.427075351,10.61129372
Dog,5.129088246,16.31477298
Fox,6.25143147,22.55356866
Cat,6.745129201,11.35626114
Dog,9.913222681,15.55348298
Fox,6.486819682,17.96886471
Cat,9.680413058,8.644267175
Dog,9.929789245,18.00665382
Fox,5.479177067,16.2453779
Cat,8.818303797,16.90373616
Dog,6.688229103,15.03894125
Fox,7.256874271,21.79121378
Cat,6.669184956,16.26509311
Dog,9.158448743,17.17086449
Fox,8.08737309,19.43849227
Cat,6.876312005,8.478153992
Dog,9.707229841,19.52177672
Fox,6.500872926,20.15235783
Cat,5.020766175,12.33284714
Dog,7.500477479,15.20926438
Fox,8.229642886,16.92445374
Cat,8.941078172,9.3525257
Dog,6.065381635,12.62980968
Fox,9.82986584,19.65327554
Cat,9.912698594,15.73335033
Dog,9.563338309,13.72545884
Fox,8.60605639,15.26514568
Cat,8.628267108,6.645936894
Dog,5.319343908,11.92089428
Fox,9.050024112,18.06922698
Cat,5.693876134,10.81432159
Dog,8.315761761,16.12989139
Fox,6.439661202,15.65718775
Cat,6.142129472,8.563570045
Dog,6.191508297,11.62444842
Fox,8.65466986,14.61396926
Cat,6.244239522,13.32934144
Dog,5.138382285,11.44801399
Fox,5.960356001,17.09822891
Cat,8.736626788,10.07393799
Dog,7.570888604,12.57149852
Fox,8.66256899,13.0233543
Cat,7.308263813,10.6193394
Dog,5.488781632,10.77687528
Fox,9.662011068,18.21983788
Cat,7.779946551,9.646206317
Dog,6.214001293,14.98605628
Fox,6.014893991,19.41415061
Cat,8.697272419,14.87610903
Dog,8.960953849,13.40805791
Fox,8.417467426,15.05329256
Cat,9.276970264,11.87987183
Dog,5.269076115,13.03314214
Fox,8.5663344,16.88361283
Cat,7.257108796,9.343563191
Dog,8.622722541,15.31090276
Fox,8.601800788,19.23101061
Cat,7.125510685,10.67241708
Dog,5.370210997,9.755006366
Fox,5.615750993,16.66725057
Cat,9.635523439,14.29450127
Dog,5.706347351,14.14490322
