Animal,isDark,t,weight
Werewolf,0,8.882821034,20.09132565
Cat,1,6.144585087,4.255904108
Unicorn,1,7.12718533,16.78525926
Werewolf,1,6.233477689,12.96220422
Cat,0,9.191688949,3.052932695
Unicorn,0,8.478369284,93.00396935
Werewolf,0,8.054876937,18.13131089
Cat,1,7.708554268,5.743454779
Unicorn,1,9.484776528,18.07499744
Werewolf,1,5.532195208,15.40812205
Cat,0,9.992126926,9.306940422
Unicorn,0,7.767937285,75.29275046
Werewolf,0,6.846287879,17.94201092
Cat,1,6.702988759,4.657589051
Unicorn,1,9.55867224,21.62496893
Werewolf,1,9.802174617,21.52935651
Cat,0,8.215457886,7.617699615
Unicorn,0,6.335438672,60.85335792
Werewolf,0,7.773881705,12.3728102
Cat,1,6.744013063,6.1529916
Unicorn,1,7.012721377,17.77527399
Werewolf,1,8.507895737,20.28385843
Cat,0,7.210742091,8.339862193
Unicorn,0,6.06011717,54.99347815
Werewolf,0,9.873409281,16.10829417
Cat,1,5.906751545,6.558736594
Unicorn,1,9.925356338,21.40942843
Werewolf,1,9.134716727,12.91379444
Cat,0,7.396485587,5.677655685
Unicorn,0,9.278066052,106.9675715
Werewolf,0,8.009772551,15.77228021
Cat,1,8.994410316,7.7706976
Unicorn,1,7.886244966,20.30450813
Werewolf,1,6.104376461,16.17768362
Cat,0,9.499825435,5.332319539
Unicorn,0,9.042479363,104.1658718
Werewolf,0,7.979048291,14.81806109
Cat,1,9.180019819,6.37882426
Unicorn,1,8.306303352,16.94360618
Werewolf,1,7.538578569,19.81917278
Cat,0,9.571286899,7.266612827
Unicorn,0,5.780510191,53.65657811
Werewolf,0,5.505330599,14.1042586
Cat,1,6.617237421,9.216354938
Unicorn,1,8.800251847,21.04366593
Werewolf,1,8.363589336,25.29139689
Cat,0,6.13648165,6.589944852
Unicorn,0,9.926676355,118.9062544
Werewolf,0,6.395141213,16.77899842
Cat,1,6.974157486,7.000398885
Unicorn,1,8.676803354,22.67806496
Werewolf,1,8.231424358,22.94658887
Cat,0,5.839491291,8.418728067
Unicorn,0,7.021504544,67.85585038
Werewolf,0,7.177781562,19.31071131
Cat,1,6.166892406,6.334587345
Unicorn,1,9.22792794,20.49319629
Werewolf,1,5.734368749,19.24886551
Cat,0,5.522164473,9.108057408
Unicorn,0,5.266791919,42.43274609
Werewolf,0,5.345954963,14.75774102
Cat,1,5.427019347,8.093247465
Unicorn,1,5.057358732,15.8065412
Werewolf,1,8.425196651,17.96728535
Cat,0,8.674185528,6.926683874
Unicorn,0,7.935029518,80.35819045
Werewolf,0,8.572075186,17.34387951
Cat,1,5.166590502,6.851268975
Unicorn,1,7.707561682,20.26309513
Werewolf,1,7.989459939,12.59339564
Cat,0,6.036731515,9.524485098
Unicorn,0,6.587822339,58.43795096
Werewolf,0,8.381550042,13.97201695
Cat,1,6.538682242,3.642985346
Unicorn,1,9.972900708,23.98807017
Werewolf,1,6.277689489,23.14915065
Cat,0,6.122559803,4.711802271
Unicorn,0,8.265635837,86.66086095
Werewolf,0,7.233168806,19.61791422
Cat,1,8.820312126,5.160286373
Unicorn,1,6.684123193,18.86790626
Werewolf,1,6.789979654,20.81338519
Cat,0,8.140536559,5.669007313
Unicorn,0,8.546842887,89.35031749
Werewolf,0,9.297451906,22.84267172
Cat,1,5.573472705,4.079015164
Unicorn,1,6.945619807,21.13393729
Werewolf,1,5.007291728,10.8787964
Cat,0,8.722470596,3.780461786
Unicorn,0,7.05137989,67.40353526
Werewolf,0,8.516739111,20.66657166
Cat,1,9.869511961,7.785120171
Unicorn,1,8.725066272,21.6057009
Werewolf,1,7.08148573,20.82100549
Cat,0,5.69202563,5.587612958
Unicorn,0,5.903123866,46.61739229
Werewolf,0,8.623991071,13.99970875
Cat,1,5.728033333,7.729131394
Unicorn,1,5.943644595,20.30906629
Werewolf,1,6.976923698,17.24996022
Cat,0,9.193773582,7.24935937
Unicorn,0,5.487526453,48.521342
Werewolf,0,7.097301701,12.42380371
Cat,1,8.588212326,6.899323895
Unicorn,1,9.216178991,17.66209604
Werewolf,1,8.709884318,21.20791144
Cat,0,8.861826343,6.663310525
Unicorn,0,6.02762512,57.07128032
Werewolf,0,6.461938478,15.34627084
Cat,1,5.133904106,6.141850877
Unicorn,1,8.043006986,17.04916505
Werewolf,1,7.695924211,16.36757312
Cat,0,7.350328875,4.985566143
Unicorn,0,8.576322002,95.53035965
Werewolf,0,8.189756575,16.18773142
Cat,1,6.066731511,8.090832055
Unicorn,1,7.907244355,18.0033367
Werewolf,1,5.811905961,15.22057245
Cat,0,9.209877753,3.850116197
Unicorn,0,5.561937982,49.46000972
Werewolf,0,5.939067789,14.34927707
Cat,1,6.88063936,5.055648412
Unicorn,1,5.977544989,14.35937942
Werewolf,1,8.268213585,15.70827249
Cat,0,8.36887987,6.9621682
Unicorn,0,5.001152169,42.14699379
Werewolf,0,6.977744153,18.00749909
Cat,1,6.323889968,7.288865179
Unicorn,1,6.363452958,14.84002972
Werewolf,1,5.274389311,15.16860659
Cat,0,7.366535198,5.715260178
Unicorn,0,9.167440804,110.2666586
Werewolf,0,6.748051415,16.41178278
Cat,1,6.087586583,7.729224578
Unicorn,1,5.57075615,18.62555574
Werewolf,1,5.92058161,23.91504096
Cat,0,5.536821393,5.28870428
Unicorn,0,8.528429841,93.78272531
Werewolf,0,5.829911794,15.44682858
Cat,1,7.018260104,10.63260338
Unicorn,1,9.335939958,16.45701149
Werewolf,1,6.785211499,18.39508383
Cat,0,5.843342446,6.029205572
Unicorn,0,5.106567934,41.90836156
Werewolf,0,9.871465382,20.18190604
Cat,1,7.716095977,5.714612853
Unicorn,1,8.23503926,17.41597832
Werewolf,1,9.974796269,18.85094311
Cat,0,9.429031047,4.052789765
Unicorn,0,6.914653379,66.14442794
Werewolf,0,7.803348548,19.68511485
Cat,1,7.215652391,4.949158422
Unicorn,1,6.008222321,13.63444128
Werewolf,1,7.436986335,17.33172525
Cat,0,5.544734159,7.575395699
Unicorn,0,8.690912978,97.22982245
Werewolf,0,6.133823229,13.08843348
Cat,1,6.162766059,10.03251377
Unicorn,1,9.199058958,25.97871736
Werewolf,1,6.558537298,20.68868903
Cat,0,5.637419676,6.636341486
Unicorn,0,7.277659321,76.17754827
Werewolf,0,8.097322993,20.53507375
Cat,1,9.670535233,4.999288541
Unicorn,1,7.240732981,17.07739793
Werewolf,1,7.923781128,18.81692516
Cat,0,7.606002772,9.114043067
Unicorn,0,9.272176724,109.4001225
Werewolf,0,8.303965488,19.92085366
Cat,1,8.57055354,4.606808047
Unicorn,1,5.222724351,19.67330747
Werewolf,1,8.253426045,17.2545609
Cat,0,6.538351598,7.015310786
Unicorn,0,7.173159535,67.30924122
Werewolf,0,7.638915165,20.3551583
Cat,1,6.932665037,7.974793551
Unicorn,1,6.378547693,19.03535113
Werewolf,1,8.555505381,20.7144802
Cat,0,6.844468779,5.163799641
Unicorn,0,5.749538956,52.27430423
Werewolf,0,6.292126513,14.16335957
Cat,1,5.516309392,6.313713206
Unicorn,1,9.230965311,23.77633906
Werewolf,1,5.132773005,16.38309031
Cat,0,9.434120594,6.041467533
Unicorn,0,7.50825031,74.67475492
Werewolf,0,5.611849007,16.73042116
Cat,1,6.671666937,7.240330791
Unicorn,1,7.194028894,18.01084467
Werewolf,1,9.825147822,30.31068343
Cat,0,5.824289189,3.146582191
Unicorn,0,5.62049104,47.63056328
Werewolf,0,9.356866477,16.6628948
Cat,1,7.094842239,4.502098907
Unicorn,1,6.690163192,18.00340242
Werewolf,1,8.383583866,21.20659691
Cat,0,9.894501908,6.605984052
Unicorn,0,9.489266757,115.2312559
Werewolf,0,5.752856779,13.97260591
Cat,1,9.842931507,6.766552516
Unicorn,1,9.293255797,22.19488506
Werewolf,1,6.459847311,16.13836707
Cat,0,9.916193251,4.865171458
Unicorn,0,7.703641786,77.03309161
Werewolf,0,7.282020037,16.76281124
Cat,1,9.694364467,4.473099461
Unicorn,1,6.693908003,15.08903922
Werewolf,1,7.191920601,21.2626895
Cat,0,6.615175455,9.860867008
Unicorn,0,6.152069348,54.13430142
Werewolf,0,9.246446577,19.19566395
Cat,1,8.063580564,8.11470227
Unicorn,1,7.300037436,16.05036295
Werewolf,1,5.475199228,16.65505109
Cat,0,9.963572819,5.979847503
Unicorn,0,5.249827071,43.64455846
Werewolf,0,6.527406232,12.63739345
Cat,1,7.443088952,8.817588323
Unicorn,1,6.815685611,14.84479042
Werewolf,1,5.172503363,17.93608878
Cat,0,6.361154366,7.351504235
Unicorn,0,5.673234539,51.91519853
Werewolf,0,5.719790557,15.60363744
Cat,1,7.117171156,6.308128508
Unicorn,1,7.955902583,19.8233261
Werewolf,1,8.697296312,20.70663164
Cat,0,7.459278333,4.700960218
Unicorn,0,9.189792992,103.4198285
Werewolf,0,5.766132962,14.3224329
Cat,1,6.564506735,7.24460316
Unicorn,1,8.378686594,14.79938846
Werewolf,1,6.647168347,18.3106179
Cat,0,6.477029884,8.19653665
Unicorn,0,8.002060267,80.03240872
Werewolf,0,9.075663681,16.5680931
Cat,1,8.734455073,9.067545044
Unicorn,1,8.344719688,14.16300886
Werewolf,1,8.858138789,19.49050046
Cat,0,5.466829246,7.648480345
Unicorn,0,9.54112139,113.1505729
Werewolf,0,8.330429737,13.51774991
Cat,1,7.574618976,4.265671785
Unicorn,1,6.273594756,20.90207412
Werewolf,1,9.307067219,22.64030948
Cat,0,5.138384835,5.650586878
Unicorn,0,7.599405211,77.00020248
Werewolf,0,8.012925245,16.43376513
Cat,1,9.987963105,5.500358985
Unicorn,1,8.437829641,16.60401872
Werewolf,1,8.197395794,22.66483544
Cat,0,5.083996479,5.747455734
Unicorn,0,7.556717377,78.96791641
Werewolf,0,7.186267672,14.78301485
Cat,1,9.487637679,3.497814238
Unicorn,1,5.002250708,19.02319604
Werewolf,1,5.584831398,15.83596376
Cat,0,7.419214327,7.428767814
Unicorn,0,7.922502663,79.24650356
Werewolf,0,5.000347175,12.08124931
Cat,1,9.167219083,8.822141252
Unicorn,1,8.540954234,14.61490715
Werewolf,1,8.194100793,20.22708635
Cat,0,5.5770581,6.589915122
Unicorn,0,6.449404283,59.47305705
Werewolf,0,7.066746375,18.81302348
Cat,1,8.941609509,8.679273464
Unicorn,1,8.214938792,12.65634836
Werewolf,1,9.66379642,21.65279029
Cat,0,9.613211441,5.263980206
Unicorn,0,8.562287811,94.10069082
Werewolf,0,7.882261493,20.33178067
Cat,1,5.619790721,4.478082674
Unicorn,1,9.282379628,24.63470995
Werewolf,1,7.7575917,22.91923722
Cat,0,9.481537394,7.701172901
Unicorn,0,8.063000262,88.60224147
Werewolf,0,8.149525039,14.78974692
Cat,1,8.993739876,6.09140689
Unicorn,1,9.775343917,25.01214224
Werewolf,1,8.78599433,19.93236283
Cat,0,9.76690053,8.292298544
Unicorn,0,5.050215259,42.84085715
Werewolf,0,8.128452802,12.01856274
Cat,1,5.930072461,9.00084571
Unicorn,1,7.748347598,21.14645722
Werewolf,1,5.852397163,16.99661267
Cat,0,8.29910946,4.234082405
Unicorn,0,5.195402762,40.94086235
Werewolf,0,5.365043308,13.84240498
Cat,1,5.589794726,6.926874788
Unicorn,1,9.515002172,27.14437761
Werewolf,1,6.123314068,18.39469849
Cat,0,7.123715535,8.228210685
Unicorn,0,8.66758609,98.56797862
Werewolf,0,6.045406538,16.94756144
Cat,1,8.919553845,5.87312487
Unicorn,1,5.455009556,17.51695518
Werewolf,1,7.960843813,20.61022648
Cat,0,9.655221256,8.553299573
Unicorn,0,7.992074307,82.8288676
Werewolf,0,7.06366242,15.16748909
Cat,1,5.972503086,8.558704695
Unicorn,1,6.827738488,15.59628875
Werewolf,1,5.443080355,16.83988087
Cat,0,5.609303085,6.011729834
Unicorn,0,6.308353881,55.2961997
Werewolf,0,9.94382803,16.86387667
Cat,1,9.43433466,6.353646441
Unicorn,1,8.22729791,19.07894231
Werewolf,1,8.614332245,20.77596914
Cat,0,5.793038404,6.200201118
Unicorn,0,5.650197349,47.26256742
Werewolf,0,8.69852689,16.80756949
Cat,1,9.771677396,7.98307485
Unicorn,1,6.521456362,22.10416304
Werewolf,1,8.254037197,19.5762435
Cat,0,5.433411351,9.060380483
Unicorn,0,9.317678341,108.5037447
Werewolf,0,5.900331935,15.83665281
Cat,1,6.580979671,7.993944616
Unicorn,1,9.597986019,21.30015477
Werewolf,1,7.181070202,20.59208483
Cat,0,9.9843412,8.062340614
Unicorn,0,7.05182655,64.48610954
Werewolf,0,6.560886916,17.83308948
Cat,1,5.522994915,3.633233385
Unicorn,1,7.25813211,24.48629278
