isCat,isDog,isWerewolf,isDark,t,weight
1,0,0,0,7.536696153,5.682043074
0,1,0,0,8.307861605,14.95036095
0,0,1,0,5.960993132,17.09713532
1,0,0,1,7.845542436,6.043139296
0,1,0,1,9.641718985,15.28875846
0,0,1,1,6.15772457,15.78471912
1,0,0,0,6.502888221,3.881998292
0,1,0,0,8.442749388,20.23301405
0,0,1,0,8.37685697,16.08250222
1,0,0,1,9.488423576,7.136742759
0,1,0,1,9.524262462,18.44199563
0,0,1,1,6.989363308,19.62644607
1,0,0,0,7.869364379,5.866831995
0,1,0,0,6.910808206,15.2508995
0,0,1,0,8.427596765,14.48622575
1,0,0,1,8.971793735,6.540956073
0,1,0,1,5.077651465,14.82425102
0,0,1,1,5.746810487,17.47329788
1,0,0,0,5.959613087,8.265133821
0,1,0,0,6.850235754,17.19348966
0,0,1,0,7.856482501,16.85565893
1,0,0,1,8.949101184,6.695646444
0,1,0,1,7.767526492,13.63439305
0,0,1,1,8.715896759,26.73376254
1,0,0,0,7.803009931,9.3301318
0,1,0,0,6.613821135,15.3183918
0,0,1,0,8.006950859,15.5376557
1,0,0,1,7.922861853,7.745168652
0,1,0,1,6.732511242,17.88877999
0,0,1,1,6.218293372,19.31131345
1,0,0,0,6.752509451,4.115702032
0,1,0,0,6.837244006,17.16904413
0,0,1,0,6.503237225,18.60243409
1,0,0,1,7.936713306,5.765560734
0,1,0,1,5.01973941,8.792954629
0,0,1,1,5.834050999,14.40730315
1,0,0,0,7.644077933,6.135002171
0,1,0,0,7.891709723,15.68870697
0,0,1,0,8.659463918,17.48530016
1,0,0,1,5.596113477,5.065869351
0,1,0,1,9.089855776,11.73985795
0,0,1,1,5.143236534,22.03657795
1,0,0,0,5.73004351,6.075611055
0,1,0,0,8.911689983,16.01153834
0,0,1,0,9.037648026,16.04345273
1,0,0,1,6.25537349,4.788051386
0,1,0,1,7.846494431,13.23376284
0,0,1,1,9.306214122,21.0503737
1,0,0,0,7.394682521,7.314264773
0,1,0,0,7.771094276,14.65874539
0,0,1,0,6.429426315,14.42612488
1,0,0,1,8.093031396,5.733343155
0,1,0,1,9.697459502,14.62869948
0,0,1,1,9.013662361,23.29891411
1,0,0,0,7.96829976,6.218893046
0,1,0,0,9.03182709,13.20279159
0,0,1,0,7.20539652,17.02280288
1,0,0,1,9.629511794,7.041650703
0,1,0,1,9.969714461,13.72036968
0,0,1,1,8.633267186,23.7654219
1,0,0,0,6.082129811,10.10473302
0,1,0,0,8.286586907,13.30279296
0,0,1,0,7.923345355,15.53336031
1,0,0,1,6.65602766,5.544768786
0,1,0,1,9.456443978,9.364759905
0,0,1,1,5.244081684,16.85666127
1,0,0,0,8.048600549,5.461404588
0,1,0,0,9.984523133,13.18710083
0,0,1,0,5.398469485,20.25837663
1,0,0,1,5.477926747,6.948149816
0,1,0,1,5.189354233,13.55739307
0,0,1,1,9.70907581,22.19863524
1,0,0,0,9.192744888,5.20472666
0,1,0,0,6.72836689,11.13384589
0,0,1,0,6.355859188,13.51546005
1,0,0,1,8.075493674,8.884098686
0,1,0,1,6.791373096,11.12826716
0,0,1,1,9.93580582,25.60374616
1,0,0,0,5.270756011,5.191154119
0,1,0,0,5.019503707,15.41916854
0,0,1,0,9.161191851,12.36811951
1,0,0,1,7.19082158,6.177639341
0,1,0,1,5.016021839,13.40163183
0,0,1,1,7.431838251,12.42953138
1,0,0,0,9.038753249,8.303074286
0,1,0,0,9.440632781,15.11914104
0,0,1,0,6.28253031,21.63347706
1,0,0,1,6.296389058,7.817403123
0,1,0,1,6.409528044,13.98885637
0,0,1,1,7.54347991,18.27203384
1,0,0,0,7.211158691,4.953911563
0,1,0,0,9.601981539,12.52848627
0,0,1,0,8.540899457,18.96927902
1,0,0,1,9.512280163,5.85952146
0,1,0,1,8.95735816,16.0746459
0,0,1,1,5.940958823,21.10380328
1,0,0,0,8.264416464,6.499241525
0,1,0,0,6.544676273,14.41403431
0,0,1,0,6.650390336,17.35130558
1,0,0,1,7.97533953,6.17688525
0,1,0,1,5.723631975,8.755716106
0,0,1,1,9.42843586,20.91323615
1,0,0,0,6.680410015,5.990082719
0,1,0,0,9.500096317,12.91917037
0,0,1,0,8.521838333,23.02486801
1,0,0,1,9.791351658,2.35646148
0,1,0,1,9.238519529,17.50906555
0,0,1,1,5.86075692,19.06500623
1,0,0,0,9.091944351,6.484983319
0,1,0,0,9.608993559,13.86550756
0,0,1,0,8.155538579,15.94670529
1,0,0,1,7.175456999,5.965562796
0,1,0,1,9.07386293,13.11378419
0,0,1,1,8.593791383,23.47906012
1,0,0,0,5.218097372,9.418545753
0,1,0,0,5.094150717,13.85297237
0,0,1,0,5.760699676,16.05414163
1,0,0,1,8.804928961,7.809276211
0,1,0,1,5.269175849,11.80485242
0,0,1,1,5.266566066,15.29880156
1,0,0,0,8.197456892,5.673094411
0,1,0,0,5.140991838,12.17279092
0,0,1,0,7.550858255,16.6634044
1,0,0,1,9.834849641,8.321705724
0,1,0,1,5.379713551,17.89326396
0,0,1,1,6.226764558,19.44176007
1,0,0,0,7.815590213,6.473661047
0,1,0,0,8.67368724,14.42194096
0,0,1,0,6.14719404,16.04872208
1,0,0,1,9.811683253,4.818769631
0,1,0,1,9.925283956,12.81624144
0,0,1,1,5.42719434,21.84431983
1,0,0,0,8.947222767,6.927699053
0,1,0,0,7.652693462,12.83951914
0,0,1,0,6.480402084,19.78589631
1,0,0,1,8.801818148,5.195550154
0,1,0,1,8.438652438,9.716320186
0,0,1,1,6.994680996,14.60062069
1,0,0,0,8.580788965,8.190956077
0,1,0,0,6.440874079,13.92044627
0,0,1,0,9.160464344,19.85596687
1,0,0,1,6.783788707,7.294236959
0,1,0,1,9.699680921,16.49985655
0,0,1,1,9.828072738,26.93961258
1,0,0,0,9.774466278,6.929347664
0,1,0,0,7.931976934,13.09159019
0,0,1,0,6.938473207,16.97509084
1,0,0,1,7.616905398,4.953431464
0,1,0,1,6.043142381,13.03563756
0,0,1,1,9.156060632,23.64630293
1,0,0,0,9.912104758,5.018000455
0,1,0,0,8.883771326,13.3395794
0,0,1,0,5.821411575,17.71375874
1,0,0,1,6.619955142,7.806489844
0,1,0,1,7.70013651,13.36633702
0,0,1,1,8.76349294,20.93049173
1,0,0,0,7.996893626,9.051664387
0,1,0,0,5.39257364,14.19284051
0,0,1,0,6.98634627,20.67807816
1,0,0,1,7.820221957,4.77017617
0,1,0,1,7.481673966,8.54359054
0,0,1,1,5.430326034,17.55720003
1,0,0,0,6.833787443,6.914895151
0,1,0,0,7.82692696,17.14917392
0,0,1,0,6.338990713,16.09105112
1,0,0,1,5.471477426,4.752380432
0,1,0,1,9.152199679,17.8300334
0,0,1,1,7.112339719,18.2061871
1,0,0,0,5.221252623,3.366783962
0,1,0,0,9.072185443,16.92308806
0,0,1,0,8.589861794,22.18364394
1,0,0,1,8.480809202,5.762153441
0,1,0,1,9.996855744,13.87448167
0,0,1,1,9.419261634,22.25558821
1,0,0,0,5.66260634,7.500845014
0,1,0,0,8.5655602,19.53834372
0,0,1,0,5.557573041,16.77460033
1,0,0,1,6.212166526,7.388436326
0,1,0,1,5.783914779,9.728153727
0,0,1,1,9.819078334,26.48551153
1,0,0,0,7.958825893,3.518901832
0,1,0,0,8.074672142,14.49984863
0,0,1,0,7.042204566,15.92189367
1,0,0,1,6.833398773,4.152463375
0,1,0,1,7.776080141,18.50318663
0,0,1,1,5.75347566,16.41807226
1,0,0,0,6.498575102,3.064208491
0,1,0,0,9.467266384,18.9048554
0,0,1,0,5.354931902,17.93470888
1,0,0,1,5.406267382,10.94879529
0,1,0,1,9.618105465,16.33596002
0,0,1,1,8.222510618,19.56744121
1,0,0,0,5.184267707,4.519386474
0,1,0,0,9.43189399,8.627344036
0,0,1,0,5.314401795,14.32826454
1,0,0,1,9.023742649,4.364359759
0,1,0,1,8.010455725,17.42715273
0,0,1,1,7.062059044,16.79677139
1,0,0,0,6.550781363,8.603775399
0,1,0,0,7.05152759,15.22924778
0,0,1,0,5.275234589,15.73736429
1,0,0,1,8.630948844,6.238694336
0,1,0,1,9.314854125,17.23425536
0,0,1,1,8.115810145,22.35792685
1,0,0,0,5.874033696,5.723296078
0,1,0,0,9.922441521,15.37453928
0,0,1,0,8.495441083,19.12016305
1,0,0,1,7.792143963,5.823132734
0,1,0,1,5.065829395,18.97642097
0,0,1,1,8.941722271,21.79822951
1,0,0,0,7.716208364,5.592476616
0,1,0,0,8.002289206,16.73822918
0,0,1,0,8.726944918,14.35086611
1,0,0,1,9.939900408,8.020327391
0,1,0,1,6.110138499,7.231585791
0,0,1,1,5.872570367,18.36962793
1,0,0,0,8.577426989,6.587930015
0,1,0,0,5.661331453,13.81625891
0,0,1,0,9.88529979,21.27881558
1,0,0,1,6.740558184,6.816855244
0,1,0,1,6.137025913,12.23297295
0,0,1,1,7.687436988,24.83503327
1,0,0,0,9.900100197,7.857398388
0,1,0,0,9.7199436,16.55690797
0,0,1,0,7.248930404,19.5167387
1,0,0,1,6.143638522,6.469631639
0,1,0,1,8.192326412,17.23800467
0,0,1,1,9.528881568,17.13570469
1,0,0,0,7.579783554,6.314614583
0,1,0,0,9.753140036,16.93571894
0,0,1,0,9.156037609,20.01913942
1,0,0,1,5.049889021,6.636247404
0,1,0,1,8.247765203,16.60439392
0,0,1,1,5.221384519,14.32371833
1,0,0,0,8.646611954,5.253903325
0,1,0,0,8.604393695,9.741857452
0,0,1,0,9.248084522,20.05562839
1,0,0,1,5.88776309,7.016287571
0,1,0,1,8.876482823,14.71867814
0,0,1,1,8.248095015,17.5054554
1,0,0,0,8.732779874,6.564113015
0,1,0,0,8.486826009,8.066853771
0,0,1,0,9.068932095,14.83299456
1,0,0,1,5.645335445,8.850066303
0,1,0,1,8.703312526,12.56020396
0,0,1,1,9.537449357,17.20946511
1,0,0,0,9.46699047,5.569649797
0,1,0,0,9.451254034,16.75421073
0,0,1,0,6.704675461,14.43118103
1,0,0,1,5.853067919,3.202910623
0,1,0,1,8.867894318,16.11961331
0,0,1,1,8.346549657,21.47049843
1,0,0,0,5.430789526,9.557285372
0,1,0,0,9.704199027,15.37180457
0,0,1,0,9.146280133,8.820339054
1,0,0,1,8.389771342,6.079764542
0,1,0,1,7.336666934,17.95554402
0,0,1,1,8.167362129,23.47894544
1,0,0,0,8.023433596,7.494219366
0,1,0,0,7.148803655,12.75592538
0,0,1,0,9.084126677,12.03620888
1,0,0,1,6.346054276,6.960039917
0,1,0,1,8.786448586,14.77216982
0,0,1,1,9.139052298,27.43256077
1,0,0,0,9.947217346,3.889099323
0,1,0,0,6.20773769,16.91583158
0,0,1,0,6.248972031,14.03882166
1,0,0,1,5.243142287,4.206626375
0,1,0,1,8.927991356,17.20546392
0,0,1,1,5.501282879,16.73313289
1,0,0,0,6.325644685,7.886559734
0,1,0,0,5.476994343,14.52994822
0,0,1,0,5.619259965,14.24944289
1,0,0,1,6.017853122,5.961846203
0,1,0,1,6.28320501,10.64274861
0,0,1,1,8.796286785,27.65713342
1,0,0,0,5.014838048,8.61375231
0,1,0,0,7.439815826,19.25845259
0,0,1,0,6.33637905,17.34844222
1,0,0,1,5.566134554,6.760112254
0,1,0,1,7.251971894,11.01142708
0,0,1,1,6.280013945,15.79523394
1,0,0,0,5.021451966,5.465217448
0,1,0,0,7.090534494,13.63453559
0,0,1,0,7.9326107,20.16173941
1,0,0,1,6.165711853,6.98627068
0,1,0,1,8.461791895,15.78424874
0,0,1,1,9.712800366,23.20836447
1,0,0,0,8.697715568,4.545536804
0,1,0,0,8.497785949,11.87838037
0,0,1,0,8.14494337,17.07875567
1,0,0,1,8.904547807,7.706097333
0,1,0,1,5.337533308,11.35163303
0,0,1,1,9.063750416,22.31943237
1,0,0,0,7.106215094,7.847141801
0,1,0,0,5.59462782,11.2135046
0,0,1,0,7.564063411,16.22779751
1,0,0,1,6.814426893,5.812541187
0,1,0,1,5.392246425,12.29139013
0,0,1,1,9.809943311,28.68474333
1,0,0,0,5.339411377,6.316913883
0,1,0,0,6.401217218,15.13167423
0,0,1,0,6.116767512,16.12745298
1,0,0,1,6.851747619,4.456949808
0,1,0,1,5.723374887,11.99412015
0,0,1,1,7.33270568,18.1142291
1,0,0,0,9.308875907,2.906000733
0,1,0,0,8.128283313,18.43365212
0,0,1,0,5.271680357,13.06506295
1,0,0,1,8.141664226,5.422090406
0,1,0,1,8.342709553,14.12765048
0,0,1,1,5.004937296,20.1548645
1,0,0,0,6.749179522,6.822283707
0,1,0,0,5.584218147,14.30455761
0,0,1,0,5.854400951,16.15709419
1,0,0,1,9.426096018,3.379615358
0,1,0,1,7.893106811,18.21555781
0,0,1,1,8.309104713,17.12060852
1,0,0,0,5.555157836,6.191506484
0,1,0,0,6.109522423,16.60537044
0,0,1,0,5.612176412,9.669016841
1,0,0,1,8.863658917,4.831483806
0,1,0,1,5.310125107,11.89182411
0,0,1,1,7.56796234,20.19088443
1,0,0,0,6.127255451,8.242655638
0,1,0,0,5.043613859,13.16289564
0,0,1,0,8.139152373,18.02698419
1,0,0,1,6.027650585,8.258268784
0,1,0,1,5.299787848,10.72100447
0,0,1,1,5.196795112,19.96411929
1,0,0,0,9.305059231,3.58740779
0,1,0,0,6.140234642,8.872933425
0,0,1,0,5.172377219,11.33244417
1,0,0,1,8.319267631,4.844129959
0,1,0,1,9.075594763,16.72878031
